Co(%),Cr(%),Cu(%),Fe(%),Ni(%)
20,15,5,40,20
20,15,10,35,20
20,15,10,40,15
20,15,15,30,20
20,15,15,35,15
20,15,15,40,10
20,15,20,25,20
20,15,20,30,15
20,15,20,35,10
20,15,20,40,5
20,20,0,40,20
20,20,5,35,20
20,20,5,40,15
20,20,10,30,20
20,20,10,35,15
20,20,10,40,10
20,20,15,25,20
20,20,15,30,15
20,20,15,35,10
20,20,15,40,5
20,20,20,20,20
20,20,20,25,15
20,20,20,30,10
20,20,20,35,5
20,25,0,35,20
20,25,0,40,15
20,25,5,30,20
20,25,5,35,15
20,25,5,40,10
20,25,10,25,20
20,25,10,30,15
20,25,10,35,10
20,25,10,40,5
20,25,15,20,20
20,25,15,25,15
20,25,15,30,10
20,25,15,35,5
20,25,20,15,20
20,25,20,20,15
20,25,20,25,10
20,25,20,30,5
25,15,0,40,20
25,15,5,35,20
25,15,5,40,15
25,15,10,30,20
25,15,10,35,15
25,15,10,40,10
25,15,15,25,20
25,15,15,30,15
25,15,15,35,10
25,15,15,40,5
25,15,20,20,20
25,15,20,25,15
25,15,20,30,10
25,15,20,35,5
25,20,0,35,20
25,20,0,40,15
25,20,5,30,20
25,20,5,35,15
25,20,5,40,10
25,20,10,25,20
25,20,10,30,15
25,20,10,35,10
25,20,10,40,5
25,20,15,20,20
25,20,15,25,15
25,20,15,30,10
25,20,15,35,5
25,20,20,15,20
25,20,20,20,15
25,20,20,25,10
25,20,20,30,5
25,25,0,30,20
25,25,0,35,15
25,25,0,40,10
25,25,5,25,20
25,25,5,30,15
25,25,5,35,10
25,25,5,40,5
25,25,10,20,20
25,25,10,25,15
25,25,10,30,10
25,25,10,35,5
25,25,15,15,20
25,25,15,20,15
25,25,15,25,10
25,25,15,30,5
25,25,20,15,15
25,25,20,20,10
25,25,20,25,5
30,15,0,35,20
30,15,0,40,15
30,15,5,30,20
30,15,5,35,15
30,15,5,40,10
30,15,10,25,20
30,15,10,30,15
30,15,10,35,10
30,15,10,40,5
30,15,15,20,20
30,15,15,25,15
30,15,15,30,10
30,15,15,35,5
30,15,20,15,20
30,15,20,20,15
30,15,20,25,10
30,15,20,30,5
30,20,0,30,20
30,20,0,35,15
30,20,0,40,10
30,20,5,25,20
30,20,5,30,15
30,20,5,35,10
30,20,5,40,5
30,20,10,20,20
30,20,10,25,15
30,20,10,30,10
30,20,10,35,5
30,20,15,15,20
30,20,15,20,15
30,20,15,25,10
30,20,15,30,5
30,20,20,15,15
30,20,20,20,10
30,20,20,25,5
30,25,0,25,20
30,25,0,30,15
30,25,0,35,10
30,25,0,40,5
30,25,5,20,20
30,25,5,25,15
30,25,5,30,10
30,25,5,35,5
30,25,10,15,20
30,25,10,20,15
30,25,10,25,10
30,25,10,30,5
30,25,15,15,15
30,25,15,20,10
30,25,15,25,5
30,25,20,15,10
30,25,20,20,5
35,15,0,30,20
35,15,0,35,15
35,15,0,40,10
35,15,5,25,20
35,15,5,30,15
35,15,5,35,10
35,15,5,40,5
35,15,10,20,20
35,15,10,25,15
35,15,10,30,10
35,15,10,35,5
35,15,15,15,20
35,15,15,20,15
35,15,15,25,10
35,15,15,30,5
35,15,20,15,15
35,15,20,20,10
35,15,20,25,5
35,20,0,25,20
35,20,0,30,15
35,20,0,35,10
35,20,0,40,5
35,20,5,20,20
35,20,5,25,15
35,20,5,30,10
35,20,5,35,5
35,20,10,15,20
35,20,10,20,15
35,20,10,25,10
35,20,10,30,5
35,20,15,15,15
35,20,15,20,10
35,20,15,25,5
35,20,20,15,10
35,20,20,20,5
35,25,0,20,20
35,25,0,25,15
35,25,0,30,10
35,25,0,35,5
35,25,5,15,20
35,25,5,20,15
35,25,5,25,10
35,25,5,30,5
35,25,10,15,15
35,25,10,20,10
35,25,10,25,5
35,25,15,15,10
35,25,15,20,5
35,25,20,15,5
40,15,0,25,20
40,15,0,30,15
40,15,0,35,10
40,15,0,40,5
40,15,5,20,20
40,15,5,25,15
40,15,5,30,10
40,15,5,35,5
40,15,10,15,20
40,15,10,20,15
40,15,10,25,10
40,15,10,30,5
40,15,15,15,15
40,15,15,20,10
40,15,15,25,5
40,15,20,15,10
40,15,20,20,5
40,20,0,20,20
40,20,0,25,15
40,20,0,30,10
40,20,0,35,5
40,20,5,15,20
40,20,5,20,15
40,20,5,25,10
40,20,5,30,5
40,20,10,15,15
40,20,10,20,10
40,20,10,25,5
40,20,15,15,10
40,20,15,20,5
40,20,20,15,5
40,25,0,15,20
40,25,0,20,15
40,25,0,25,10
40,25,0,30,5
40,25,5,15,15
40,25,5,20,10
40,25,5,25,5
40,25,10,15,10
40,25,10,20,5
40,25,15,15,5
