model,target,mean_R2,std_R2,s0_f0,s0_f1,s0_f2,s0_f3,s0_f4,s1_f0,s1_f1,s1_f2,s1_f3,s1_f4,s2_f0,s2_f1,s2_f2,s2_f3,s2_f4,s3_f0,s3_f1,s3_f2,s3_f3,s3_f4,s4_f0,s4_f1,s4_f2,s4_f3,s4_f4
DeepMLP,Youngs_modulus,0.9565804318455203,0.07164892965508252,0.9735703528475922,0.9759056840142906,0.9922321897008518,0.9788391233605692,0.9547574418471324,0.9728327202244652,0.952350641537942,0.9856864036500242,0.9730488679788104,0.9817442848644793,0.9683648107349342,0.6235069659233858,0.9695058472271398,0.9804725804065788,0.9806212933421629,0.9663483436056415,0.9862873646279507,0.982104872655434,0.9749268478245211,0.8712927648149902,0.971196494736016,0.9593930412646431,0.9851109890974654,0.9638881828836666,0.9905226869673172
TabularTransformer,Youngs_modulus,-1.96733739361281,0.7790168271157996,-2.3508113116349696,-2.2508875670840545,-2.5088253690615825,-1.614862281399187,-2.8104798230032846,-3.122316075067344,-2.4716803203324647,-0.7965306123902613,-1.6532749187156375,-2.5714487863989617,-2.5745362084737287,-3.3817444714575986,-1.419546992508046,-0.8676756341167782,-2.063381261735577,-1.1237755373275742,-1.0647279650748942,-2.4362811339715624,-0.7251322497613073,-1.2449461932367871,-1.336859007364521,-2.2446067026033885,-2.276558794592315,-3.152928412840584,-1.1196172101678417
AttentionMLP,Youngs_modulus,0.9768911083039551,0.016787094579352436,0.9877804958947242,0.9633686036763173,0.9895661906223495,0.9885260942593294,0.9928080858401443,0.9701532670214148,0.9896741819627755,0.9880543781219278,0.96642188720511,0.9599147429451521,0.9892225156997285,0.9558650126650196,0.9595176323450924,0.9919332710373662,0.9603257951198346,0.9893749092584287,0.9662559178354788,0.9203640142039488,0.986906759962251,0.9907707180520213,0.9849397106012968,0.9840477709341199,0.978950925657127,0.9906382384216306,0.9768965882562888
DeepMLP,UTS,0.944807442401488,0.048187085577383625,0.959245908803451,0.9533162799075214,0.9580195156524309,0.9296907027577039,0.9793774533995608,0.9660862880009965,0.9635849998450675,0.9497670644197584,0.9272443357758223,0.9302390923711595,0.933851286869251,0.729879172786142,0.9797206004507919,0.9646032314448062,0.9319564993533946,0.9515008931002935,0.9705623621005195,0.9667401756584519,0.9543446690225887,0.973481243988993,0.9770644613862096,0.8928920632352592,0.9499433248660342,0.9725926971330879,0.954481737707901
TabularTransformer,UTS,0.8292543763624687,0.5146353289070098,0.983514496729844,0.9896665295969781,0.9747271165199053,0.9897099357113313,0.992939344104851,0.967592757395254,0.9697333919089522,0.9805102566826941,0.981965490055694,0.9741987888076205,0.978729388318742,0.9860781130270666,0.9637162520027098,0.9894588968110836,0.9763156719962424,0.9920606099833703,0.9872532381669098,0.9934587291775099,0.9720653148193592,0.9902983448690854,-0.9474181494634932,0.9891415836239033,0.9725805544963312,-0.883447178806483,0.9665099325262541
AttentionMLP,UTS,0.832606820349156,0.37851616707409924,0.9889323529425643,-0.7740401317899093,0.9600031796219272,0.9920727808707336,0.9427734153684566,0.9698885742938007,0.08718989520013087,0.9622964197282003,0.8449010812374174,0.5730830116830783,0.748218543201693,0.9616824421480137,0.9882710592402028,0.987891979935003,0.9506739042350861,0.9416173970555578,0.941191054415205,0.9918441990515531,0.9836468140718212,0.986501612833411,0.9892465538445454,0.9827511869598108,0.9077671299014414,0.9545142207172416,0.9522518319619148
DeepMLP,Disloc_0pct,0.7518086558976224,0.4964207160070361,0.9495723534121585,0.9314457895351592,0.9213466738609326,0.9593297268729397,0.9371621085863846,-0.6555050926815051,0.9580912257417719,-0.9988894152638825,0.935451969013325,0.9497790493220949,0.9278184332259968,0.9454457895352001,0.957438661084772,0.9313718054182935,0.2655656438061206,0.9130291940529035,0.9616377281957534,0.8292206705060902,0.9664493953587148,0.42202334617229287,0.9559089687519368,0.9695826948448447,0.9385937884617027,0.9588432403427409,0.9645026492838156
TabularTransformer,Disloc_0pct,0.4594551613371767,1.1658268535923433,0.9399428592377719,0.9788998410229284,0.9689755896081981,0.9717483341765782,0.9673337672900952,-2.2468776562376926,0.9788368916371882,0.9710256064749937,0.9660888720722501,0.975371267894346,0.969342017463381,0.9345966629205935,0.9478218155542815,-1.3863643883608336,-2.6209551452897415,0.9717969520723816,0.9752886146623265,0.9710197561619327,0.9663051950403816,-2.4479860843931576,0.977178478704752,0.9802056689455285,0.9656906967484964,0.9578580961577902,0.8532353238646473
AttentionMLP,Disloc_0pct,0.030628876206544007,0.9173415623816131,0.9278693740595552,-0.9558201913021673,0.9743956061091283,0.9109079641618368,0.9318693513359673,0.9374520173489442,-0.018830103599927428,-1.0241997410133417,0.8112428020432709,-0.6623791191786106,0.9576063818624271,0.11842994648683158,-1.026041335079181,0.11488104231030605,0.8783343554247247,-0.5456023306600537,-0.47688429824689016,-0.5983724025252162,0.9449533012227346,0.1903880684881959,0.9003689047660879,-2.382006400288829,0.7988693663327389,-0.8579847025819665,-1.0837259523129665
DeepMLP,Disloc_20pct,0.8432720341601788,0.0495378006351838,0.869156386555333,0.8503850146472203,0.8671946969497162,0.8726977255776457,0.8898997877015554,0.8584382792779233,0.8985989398764945,0.8168590274100933,0.891395072589509,0.8273116581598629,0.8030512871178367,0.8828257349860993,0.8589260455478887,0.8181281356321088,0.7954405600686245,0.8765558366793852,0.8860286655931024,0.699041072099174,0.7079547173230993,0.8622688090004436,0.8233951499003316,0.876820568435071,0.8550787127484321,0.8493783062281273,0.8449706638993955
