target,seed,fold,test_r2
Youngs_modulus,0,0,0.9969333526223703
Youngs_modulus,0,1,0.9942602065831322
Youngs_modulus,0,2,0.9974570948781384
Youngs_modulus,0,3,0.9977917241869397
Youngs_modulus,0,4,0.9976008759975388
UTS,0,0,0.9958664682749833
UTS,0,1,0.9935812945262692
UTS,0,2,0.9956284814382467
UTS,0,3,0.9961463175242196
UTS,0,4,0.9968233495789546
Disloc_0pct,0,0,0.9837006878145594
Disloc_0pct,0,1,0.9843671238307953
Disloc_0pct,0,2,0.9823287048768313
Disloc_0pct,0,3,0.9851406537954553
Disloc_0pct,0,4,0.9819365985530232
Disloc_20pct,0,0,0.9163791767331553
Disloc_20pct,0,1,0.9219871126774436
Disloc_20pct,0,2,0.927327045596668
Disloc_20pct,0,3,0.9503488988379379
Disloc_20pct,0,4,0.9226121726597584
FCC_0pct,0,0,0.9996973181586345
FCC_0pct,0,1,0.9996749117809531
FCC_0pct,0,2,0.9997121924727862
FCC_0pct,0,3,0.9997437746553799
FCC_0pct,0,4,0.999717046227659
HCP_0pct,0,0,0.7971201941373286
HCP_0pct,0,1,0.800080150745831
HCP_0pct,0,2,0.8096797276247849
HCP_0pct,0,3,0.7897851850147373
HCP_0pct,0,4,0.777614928174718
BCC_0pct,0,0,0.4683283131356859
BCC_0pct,0,1,0.49846214084271945
BCC_0pct,0,2,0.35703051788374096
BCC_0pct,0,3,0.4388411087734485
BCC_0pct,0,4,0.44150716744724805
FCC_20pct,0,0,0.9638258855833368
FCC_20pct,0,1,0.9654615595634576
FCC_20pct,0,2,0.9716911406046502
FCC_20pct,0,3,0.9669685433710757
FCC_20pct,0,4,0.9682479167090519
HCP_20pct,0,0,0.8325733078371091
HCP_20pct,0,1,0.8594693477152981
HCP_20pct,0,2,0.8629216872802223
HCP_20pct,0,3,0.8368613863624217
HCP_20pct,0,4,0.8610013297353302
BCC_20pct,0,0,0.9408880538169926
BCC_20pct,0,1,0.933906346781577
BCC_20pct,0,2,0.9131211230081485
BCC_20pct,0,3,0.9403579731465856
BCC_20pct,0,4,0.9136250439905929
Other_0pct,0,0,0.9995885701125732
Other_0pct,0,1,0.9996341737446518
Other_0pct,0,2,0.9996743173396682
Other_0pct,0,3,0.9997406483352368
Other_0pct,0,4,0.9996304658811787
Other_20pct,0,0,0.9983122525674963
Other_20pct,0,1,0.9984634116385073
Other_20pct,0,2,0.998571013164835
Other_20pct,0,3,0.9984825345142513
Other_20pct,0,4,0.9985595104238221
Youngs_modulus,1,0,0.9969333526223703
Youngs_modulus,1,1,0.9942602065831322
Youngs_modulus,1,2,0.9974570948781384
Youngs_modulus,1,3,0.9977917241869397
Youngs_modulus,1,4,0.9976008759975388
UTS,1,0,0.9958664649751456
UTS,1,1,0.9935812946655116
UTS,1,2,0.9956284814382467
UTS,1,3,0.9961463175242196
UTS,1,4,0.9968233498210254
Disloc_0pct,1,0,0.9837006947633169
Disloc_0pct,1,1,0.9843671207390026
Disloc_0pct,1,2,0.9823287035071154
Disloc_0pct,1,3,0.9851406506225758
Disloc_0pct,1,4,0.9819365991298521
Disloc_20pct,1,0,0.9163791518240301
Disloc_20pct,1,1,0.9219871135337467
Disloc_20pct,1,2,0.9273270283355941
Disloc_20pct,1,3,0.9503488988379379
Disloc_20pct,1,4,0.9226121778253971
FCC_0pct,1,0,0.9996973182390101
FCC_0pct,1,1,0.9996749091909676
FCC_0pct,1,2,0.9997121924918232
FCC_0pct,1,3,0.9997437746054396
FCC_0pct,1,4,0.9997170468793146
HCP_0pct,1,0,0.7971201924926594
HCP_0pct,1,1,0.8000801138088078
HCP_0pct,1,2,0.8096798175827504
HCP_0pct,1,3,0.7897851621432253
HCP_0pct,1,4,0.777614928174718
BCC_0pct,1,0,0.46832832940936375
BCC_0pct,1,1,0.49846216626221684
BCC_0pct,1,2,0.3570305147637086
BCC_0pct,1,3,0.4388415786739588
BCC_0pct,1,4,0.44150722749717464
FCC_20pct,1,0,0.9638258770726394
FCC_20pct,1,1,0.9186946597344171
FCC_20pct,1,2,0.9716911449220647
FCC_20pct,1,3,0.9669685441100363
FCC_20pct,1,4,0.968247914406234
HCP_20pct,1,0,0.8325733078371091
HCP_20pct,1,1,0.8594693477152981
HCP_20pct,1,2,0.8629216872802223
HCP_20pct,1,3,0.8368613863624217
HCP_20pct,1,4,0.8610013297353302
BCC_20pct,1,0,0.9408880523479963
BCC_20pct,1,1,0.9339063334895482
BCC_20pct,1,2,0.9131211222327633
BCC_20pct,1,3,0.9403579618524699
BCC_20pct,1,4,0.9136250830560987
Other_0pct,1,0,0.999588570748471
Other_0pct,1,1,0.9609785382841844
Other_0pct,1,2,0.9996743170660091
Other_0pct,1,3,0.9997406486477576
Other_0pct,1,4,0.9996304658515507
Other_20pct,1,0,0.9978625021039554
Other_20pct,1,1,0.9984634118755454
Other_20pct,1,2,0.9985710135393514
Other_20pct,1,3,0.9984825345162606
