model,target,mean_R2,std_R2,s0_f0,s0_f1,s0_f2,s0_f3,s0_f4,s1_f0,s1_f1,s1_f2,s1_f3,s1_f4,s2_f0,s2_f1,s2_f2,s2_f3,s2_f4,s3_f0,s3_f1,s3_f2,s3_f3,s3_f4,s4_f0,s4_f1,s4_f2,s4_f3,s4_f4
RandomForest,Youngs_modulus,0.9940045136189594,0.0007800044573506636,0.9943482512685172,0.9926269797936838,0.9938601349453736,0.994791436304374,0.9945493883123053,0.9944640220360971,0.9925323178289621,0.9937991309375303,0.9946830462873394,0.9945633961993339,0.9945341387981051,0.9925316707125342,0.993758971712657,0.9946489342440271,0.9946124792303457,0.9943158622001415,0.992490392345129,0.9938348770210526,0.994644262898448,0.9944435867421403,0.9944300439544079,0.99266343939697,0.9937809067390271,0.9946459060387524,0.9945592645267296
GradientBoosting,Youngs_modulus,0.9941497946584533,0.0011000063572952222,0.9929257557179189,0.9919047972895603,0.9952596522998312,0.9954826846907653,0.9951896016383324,0.9940582088728557,0.9931499920917746,0.993776683658591,0.9955451678639043,0.9943519918784564,0.9937028570673735,0.9919946198591163,0.9943891228401064,0.9936136953826696,0.9944570239406088,0.9938030840125192,0.9922179373339702,0.9959598693970662,0.9948637631009967,0.9951725665511426,0.994980783599095,0.9933249690723686,0.9940541985861985,0.9951937431155148,0.9943720966005982
XGBoost,Youngs_modulus,0.9952840351985169,0.0012222717213826785,0.9955828233845017,0.993747985217192,0.9961114581753451,0.9963240262465224,0.9958201494105376,0.9955869425657693,0.9934813309272914,0.9965216702128631,0.9953038884232411,0.9957553442235858,0.9956077790149032,0.9931997014749683,0.9960907237334793,0.9964366715746437,0.9960399215686908,0.9945801279622377,0.9925510330750854,0.9959206885486707,0.9959608371745536,0.9962654690152228,0.9943526509122511,0.9924688253375714,0.9960220236390962,0.9961698154633433,0.9961989926813593
SVR,Youngs_modulus,0.9924038455489022,0.0010912906419321337,0.9910584107821537,0.9920745162919535,0.9940257230920304,0.993268154709238,0.9915924228691345,0.9910584107821537,0.9920745162919535,0.9940257230920304,0.993268154709238,0.9915924228691345,0.9910584107821537,0.9920745162919535,0.9940257230920304,0.993268154709238,0.9915924228691345,0.9910584107821537,0.9920745162919535,0.9940257230920304,0.993268154709238,0.9915924228691345,0.9910584107821537,0.9920745162919535,0.9940257230920304,0.993268154709238,0.9915924228691345
Ridge,Youngs_modulus,0.9741808955492148,0.0012882155893247436,0.9740424592367178,0.972910945989474,0.9764953394010888,0.9730576279260413,0.9743981051927527,0.9740424592367178,0.972910945989474,0.9764953394010888,0.9730576279260413,0.9743981051927527,0.9740424592367178,0.972910945989474,0.9764953394010888,0.9730576279260413,0.9743981051927527,0.9740424592367178,0.972910945989474,0.9764953394010888,0.9730576279260413,0.9743981051927527,0.9740424592367178,0.972910945989474,0.9764953394010888,0.9730576279260413,0.9743981051927527
Lasso,Youngs_modulus,0.9731052069292727,0.0013301707787579183,0.972560154318717,0.9717196394279803,0.9755915096955275,0.9724440910250979,0.973210640179041,0.972560154318717,0.9717196394279803,0.9755915096955275,0.9724440910250979,0.973210640179041,0.972560154318717,0.9717196394279803,0.9755915096955275,0.9724440910250979,0.973210640179041,0.972560154318717,0.9717196394279803,0.9755915096955275,0.9724440910250979,0.973210640179041,0.972560154318717,0.9717196394279803,0.9755915096955275,0.9724440910250979,0.973210640179041
MLP,Youngs_modulus,0.9840266447309244,0.009408872921127449,0.9779609944192075,0.9703863960178705,0.993938687321862,0.9665468282456208,0.9806917574047376,0.9931652325080002,0.9876110477935797,0.9852980504157545,0.9919610411530733,0.9922462284979593,0.9914962323389884,0.9686734050230354,0.9727131495649858,0.9763894210165948,0.9883917340487608,0.9931424110400943,0.9877670462310265,0.9926446229646738,0.9751917528136314,0.9921183963277612,0.9933513509444516,0.972225433734102,0.9714319145513157,0.991897953801509,0.9934250300945121
RandomForest,UTS,0.9936008620545762,0.0011328555873045155,0.9938243900694524,0.9914821621773481,0.9938757282527876,0.9940519654659506,0.9948007472881462,0.9938883844566213,0.9913495906663105,0.9939200619657097,0.993964866302443,0.9948097870705332,0.993887517309237,0.9915289188895393,0.9939648532005405,0.9939728312328725,0.9947931920523114,0.9938831701628966,0.9913592138706614,0.9938397983710713,0.9939238100371772,0.9948706736133375,0.99381363136812,0.9914984864297055,0.9940012884606664,0.9939972109236184,0.9947192717273476
GradientBoosting,UTS,0.994608574153072,0.0012032617066397443,0.9955387041010283,0.9922527987617088,0.9942333244386443,0.9948221541743131,0.9959553558561515,0.9955301764984584,0.9923171222202598,0.9945902872066946,0.9937754140848366,0.9954985700540324,0.9961293061781108,0.9926337122153949,0.9945517995696488,0.9948883575416977,0.9954866849148244,0.9959310146703468,0.9925772108002308,0.9951898924021462,0.9944800055960319,0.99544360615549,0.9955921187149237,0.9925158827568971,0.9951587649012064,0.99479363578739,0.9953284542263372
XGBoost,UTS,0.9942097978030716,0.0012991441978957618,0.995006017205384,0.9919190804023877,0.9947226595070363,0.994194005775971,0.9951415936813566,0.9952138051707354,0.9916356088190895,0.9949847949185237,0.9951750806911823,0.9953158415977647,0.9948399985225673,0.9915388089677059,0.9942767837995767,0.9948117710595619,0.9956701058179824,0.9944954677774533,0.9921221109161849,0.9939181388596192,0.9946438149891599,0.9948402662536103,0.9947994517458498,0.9917327355763049,0.9947258193965294,0.9936898217545963,0.9958313618706552
