target,template,best5_seeds,r2_1,r2_2,r2_3,r2_4,r2_5,best5_mean,best5_sd
Youngs_modulus,arrhenius,"[21, 26, 23, 19, 22]",0.9940155613045318,0.9935675469389136,0.9935026180465852,0.993268289510197,0.9931094927999112,0.9934927017200279,0.0003450696313094839
UTS,arrhenius,"[7, 8, 1, 23, 9]",0.9939955149787938,0.9939776467266548,0.9939512746201441,0.993941361142927,0.9939024474937834,0.9939536489924606,3.573119930450487e-05
Disloc_0pct,free_1stage,"[6, 16, 0, 3, 15]",0.9801439178520086,0.9796805327080111,0.9793280735927391,0.9786041122735328,0.9785939833813492,0.9792701239615281,0.0006775040432903942
Disloc_20pct,free_1stage,"[6, 29, 28, 20, 5]",0.9152804399878468,0.9128141585122229,0.9116449930400858,0.9098455504619374,0.9097666643416058,0.9118703612687398,0.002296496272061873
FCC_0pct,free_1stage,"[17, 19, 28, 18, 20]",0.9982595131357395,0.9980799851096533,0.9979694954454823,0.9979471788948967,0.9978281475297418,0.9980168640231026,0.0001624627476808461
FCC_20pct,arrhenius,"[13, 29, 6, 0, 14]",0.9555508767805281,0.9545794487009751,0.9543091318533587,0.9536663027231578,0.9535519438765496,0.954331540786914,0.0008060790568548254
Other_0pct,free_1stage,"[1, 2, 4, 20, 14]",0.9988093124607096,0.9987383251468186,0.9986025137386028,0.9985901756415358,0.9984082533701383,0.998629716071561,0.0001544343993981875
Other_20pct,free_1stage,"[28, 29, 25, 0, 1]",0.9968793007031532,0.9968632381109609,0.9967613673926621,0.9967123946848858,0.9966729968676763,0.9967778595518677,9.101322457067405e-05
HCP_0pct,free_1stage,"[22, 28, 25, 29, 8]",0.7202476036202096,0.7201786592171074,0.7197446732699392,0.7176447386348281,0.7111015352599952,0.7177834420004159,0.003883384554981022
HCP_20pct,arrhenius,"[5, 20, 24, 17, 9]",0.7799376025216693,0.7778905775352669,0.7748593980155936,0.7748224482172106,0.7718576980999259,0.7758735448779334,0.003116300236874172
BCC_0pct,free_2stage,"[0, 14, 26, 15, 25]",0.5368006503126974,0.5342940485613153,0.5331363991347247,0.5327947730176051,0.5311752235807043,0.5336402189214093,0.0020892962308197414
BCC_20pct,free_2stage,"[9, 5, 1, 14, 18]",0.9030436886220281,0.901746745834991,0.9006491958343089,0.8996948087704444,0.8967015747288386,0.9003672027581222,0.0023997488566190085
