target,template,seed,fold,test_r2
Youngs_modulus,additive,0,0,-0.036982825569310096
Youngs_modulus,additive,0,1,-0.13664375765802395
Youngs_modulus,additive,0,2,-0.1822321125702795
Youngs_modulus,additive,0,3,-0.01467100625690776
Youngs_modulus,additive,0,4,-0.061844295796973814
Youngs_modulus,multiplicative,0,0,-0.03363542200872427
Youngs_modulus,multiplicative,0,1,-0.15489195745222917
Youngs_modulus,multiplicative,0,2,0.03705766737391947
Youngs_modulus,multiplicative,0,3,0.05299273780826719
Youngs_modulus,multiplicative,0,4,-0.1304471828336049
Youngs_modulus,thermal_softening,0,0,-0.037422050431192844
Youngs_modulus,thermal_softening,0,1,-0.05339436818568788
Youngs_modulus,thermal_softening,0,2,-0.05126691934832972
Youngs_modulus,thermal_softening,0,3,-0.019626654634040452
Youngs_modulus,thermal_softening,0,4,-0.0667904069105929
Youngs_modulus,arrhenius,0,0,0.007582258957065102
Youngs_modulus,arrhenius,0,1,-0.16345057956959308
Youngs_modulus,arrhenius,0,2,-0.1675582649232934
Youngs_modulus,arrhenius,0,3,-0.09951695028493868
Youngs_modulus,arrhenius,0,4,-0.04677329711348399
Youngs_modulus,power_law,0,0,-0.05604981500950701
Youngs_modulus,power_law,0,1,-0.360846188903458
Youngs_modulus,power_law,0,2,-0.020945964704050857
Youngs_modulus,power_law,0,3,0.052995519803315516
Youngs_modulus,power_law,0,4,-0.030606783419664607
Youngs_modulus,free_2stage,0,0,0.04043097071611257
Youngs_modulus,free_2stage,0,1,-0.057486943624440956
Youngs_modulus,free_2stage,0,2,-0.04019897848142273
Youngs_modulus,free_2stage,0,3,0.05625002206354246
Youngs_modulus,free_2stage,0,4,0.04609545701694895
Youngs_modulus,free_1stage,0,0,0.013386904383692944
Youngs_modulus,free_1stage,0,1,-0.07692982029896944
Youngs_modulus,free_1stage,0,2,-0.05635819514231599
Youngs_modulus,free_1stage,0,3,-0.06823462502734556
Youngs_modulus,free_1stage,0,4,-0.006650750112322523
Youngs_modulus,entropy_weighted,0,0,0.024129908277449874
Youngs_modulus,entropy_weighted,0,1,-0.054443485918464596
Youngs_modulus,entropy_weighted,0,2,-0.37198583320095957
Youngs_modulus,entropy_weighted,0,3,0.04575741346355522
Youngs_modulus,entropy_weighted,0,4,-0.10227590710282053
Youngs_modulus,calphad,0,0,-0.03142770694477637
Youngs_modulus,calphad,0,1,-1.3320753428135337
Youngs_modulus,calphad,0,2,-0.23470786372068608
Youngs_modulus,calphad,0,3,0.24715604818396275
Youngs_modulus,calphad,0,4,-1.043054334170249
UTS,additive,0,0,0.0003476637237741498
UTS,additive,0,1,-0.14405317478233504
UTS,additive,0,2,-0.014715875157858438
UTS,additive,0,3,0.05477881061512424
UTS,additive,0,4,-0.10312782842326063
UTS,multiplicative,0,0,0.01825525705842579
UTS,multiplicative,0,1,-0.16597684322031192
UTS,multiplicative,0,2,-0.08081177268019579
UTS,multiplicative,0,3,0.08096562472634039
UTS,multiplicative,0,4,-0.06067301917945955
UTS,thermal_softening,0,0,0.02879632806424015
UTS,thermal_softening,0,1,-0.14766415748148165
UTS,thermal_softening,0,2,-0.044725323682790474
UTS,thermal_softening,0,3,-0.04268408450914407
UTS,thermal_softening,0,4,-0.06100806511828383
UTS,arrhenius,0,0,0.009430846102722601
UTS,arrhenius,0,1,-0.028169048430973564
UTS,arrhenius,0,2,0.009764728519338739
UTS,arrhenius,0,3,-0.08657922946590624
UTS,arrhenius,0,4,-0.13762389173693967
UTS,power_law,0,0,-0.01948175359827964
UTS,power_law,0,1,-0.15158450555705638
UTS,power_law,0,2,-0.027627423641131132
UTS,power_law,0,3,0.03631924896713923
UTS,power_law,0,4,-0.07117708476633822
UTS,free_2stage,0,0,0.003723483482085621
UTS,free_2stage,0,1,-0.0806203189863024
UTS,free_2stage,0,2,-0.012009700141385915
UTS,free_2stage,0,3,0.1113927537660303
UTS,free_2stage,0,4,-0.005537344601798999
UTS,free_1stage,0,0,-0.013180199605554055
UTS,free_1stage,0,1,-0.05579847027306872
UTS,free_1stage,0,2,-0.023161288873480457
UTS,free_1stage,0,3,0.07779613369086691
UTS,free_1stage,0,4,-0.02542614563783019
UTS,entropy_weighted,0,0,-0.09967708415204957
UTS,entropy_weighted,0,1,-0.19898190662018944
UTS,entropy_weighted,0,2,-0.10230195815296561
UTS,entropy_weighted,0,3,0.05837971172940326
UTS,entropy_weighted,0,4,-0.008105902233234374
UTS,calphad,0,0,-2.985836715177709
UTS,calphad,0,1,-0.3454410129017682
UTS,calphad,0,2,-0.5032197597819112
UTS,calphad,0,3,0.3583701526179147
UTS,calphad,0,4,-0.8887732333886438
Disloc_0pct,additive,0,0,0.02349868865575655
Disloc_0pct,additive,0,1,-0.20414814480318366
Disloc_0pct,additive,0,2,-0.21255708494847592
Disloc_0pct,additive,0,3,0.09868649776275173
Disloc_0pct,additive,0,4,0.014552903660617789
Disloc_0pct,multiplicative,0,0,-0.03325754087749133
Disloc_0pct,multiplicative,0,1,-0.12880319711621402
Disloc_0pct,multiplicative,0,2,-0.2133438473082705
Disloc_0pct,multiplicative,0,3,0.06894234388552711
Disloc_0pct,multiplicative,0,4,-0.09603100699152667
Disloc_0pct,thermal_softening,0,0,-0.07512822116597362
Disloc_0pct,thermal_softening,0,1,-0.07611834141856622
