target,seed,fold,test_r2
Youngs_modulus,0,0,0.9829666999399816
Youngs_modulus,0,1,0.9831198225067014
Youngs_modulus,0,2,0.9844358603522778
Youngs_modulus,0,3,0.9786819031836532
Youngs_modulus,0,4,0.982988946528892
UTS,0,0,0.9904538607115554
UTS,0,1,0.9919777522200821
UTS,0,2,0.9919628467929754
UTS,0,3,0.992418871017043
UTS,0,4,0.9929804340803732
Disloc_0pct,0,0,0.9793756099913411
Disloc_0pct,0,1,0.9777819494773727
Disloc_0pct,0,2,0.9764687715866798
Disloc_0pct,0,3,0.9819670008942072
Disloc_0pct,0,4,0.9735444156731277
Disloc_20pct,0,0,0.9016602005056791
Disloc_20pct,0,1,0.866142957558619
Disloc_20pct,0,2,0.8914626635318591
Disloc_20pct,0,3,0.9322485846921784
Disloc_20pct,0,4,0.9053857830411696
FCC_0pct,0,0,0.9978950638696058
FCC_0pct,0,1,0.9979368114132905
FCC_0pct,0,2,0.9990826152936846
FCC_0pct,0,3,0.9976829232181006
FCC_0pct,0,4,0.9957331308060384
HCP_0pct,0,0,0.6415807109130449
HCP_0pct,0,1,0.684697492543286
HCP_0pct,0,2,0.6609167869389032
HCP_0pct,0,3,0.7237015189757593
HCP_0pct,0,4,0.6566090705773782
BCC_0pct,0,0,0.5964345397873532
BCC_0pct,0,1,0.35342432336136487
BCC_0pct,0,2,0.3021317114648441
BCC_0pct,0,3,0.5016529759788186
BCC_0pct,0,4,0.5500569848454488
FCC_20pct,0,0,0.9537690281236101
FCC_20pct,0,1,0.9452240065771884
FCC_20pct,0,2,0.9535342061483217
FCC_20pct,0,3,0.9526280294153808
FCC_20pct,0,4,0.9567563948006358
HCP_20pct,0,0,0.7758911881010344
HCP_20pct,0,1,0.7869962089055884
HCP_20pct,0,2,0.6404804587418427
HCP_20pct,0,3,0.6039950188240559
HCP_20pct,0,4,0.7589317836135634
BCC_20pct,0,0,0.8856662484543734
BCC_20pct,0,1,0.9192852434025681
BCC_20pct,0,2,0.814618159623546
BCC_20pct,0,3,0.890759089173261
BCC_20pct,0,4,0.8668497816541942
Other_0pct,0,0,0.9988614657218715
Other_0pct,0,1,0.9981110404339277
Other_0pct,0,2,0.9985744315024989
Other_0pct,0,3,0.99869903499147
Other_0pct,0,4,0.9986287081879422
Other_20pct,0,0,0.9963213913838596
Other_20pct,0,1,0.9953236435054374
Other_20pct,0,2,0.9968971769644108
Other_20pct,0,3,0.9970115490064049
Other_20pct,0,4,0.9960046640509637
Youngs_modulus,1,0,0.9769659399648285
Youngs_modulus,1,1,0.9823964357631273
Youngs_modulus,1,2,0.9848188994875651
Youngs_modulus,1,3,0.9826099170861147
Youngs_modulus,1,4,0.9897702619829513
UTS,1,0,0.9919745309149992
UTS,1,1,0.990272986216212
UTS,1,2,0.9941076285128702
UTS,1,3,0.9932956506315961
UTS,1,4,0.9937911201028938
Disloc_0pct,1,0,0.9802454888437475
Disloc_0pct,1,1,0.9777809995015974
Disloc_0pct,1,2,0.9764695187501029
Disloc_0pct,1,3,0.9819678463684574
Disloc_0pct,1,4,0.9735445884920496
Disloc_20pct,1,0,0.9089107480329368
Disloc_20pct,1,1,0.9061592670291587
Disloc_20pct,1,2,0.8845451385322838
Disloc_20pct,1,3,0.9202578343481417
Disloc_20pct,1,4,0.8880260968455005
FCC_0pct,1,0,0.9979125307808545
FCC_0pct,1,1,0.997463520010688
FCC_0pct,1,2,0.9980170502363314
FCC_0pct,1,3,0.9980236309325815
FCC_0pct,1,4,0.9986400425528296
HCP_0pct,1,0,0.6934874756498226
HCP_0pct,1,1,0.6026948500169461
HCP_0pct,1,2,0.7342664314457114
HCP_0pct,1,3,0.7096887547370025
HCP_0pct,1,4,0.7258913122104045
BCC_0pct,1,0,0.32649343176463175
BCC_0pct,1,1,0.40215722460080583
BCC_0pct,1,2,0.316842304809279
BCC_0pct,1,3,0.5268843261193352
BCC_0pct,1,4,0.5221413517013407
FCC_20pct,1,0,0.944547578546003
FCC_20pct,1,1,0.9460283582017165
FCC_20pct,1,2,0.9524347729175718
FCC_20pct,1,3,0.9481728788139938
FCC_20pct,1,4,0.9339990484346077
HCP_20pct,1,0,0.7411284200253387
HCP_20pct,1,1,0.804158839402071
HCP_20pct,1,2,0.6703968466760324
HCP_20pct,1,3,0.729889094042542
HCP_20pct,1,4,0.757912443493602
BCC_20pct,1,0,0.9207795574507397
BCC_20pct,1,1,0.9058505493211442
BCC_20pct,1,2,0.7988171167605908
BCC_20pct,1,3,0.8953057815664878
BCC_20pct,1,4,0.8491102801310343
Other_0pct,1,0,0.9984021651585794
Other_0pct,1,1,0.9986114917531045
Other_0pct,1,2,0.9987521630396808
Other_0pct,1,3,0.9978075501664799
Other_0pct,1,4,0.9986032740891483
Other_20pct,1,0,0.9961426079843205
Other_20pct,1,1,0.9964344581510101
Other_20pct,1,2,0.997163274496887
Other_20pct,1,3,0.9973805606056562
Other_20pct,1,4,0.9963066523304932
Youngs_modulus,2,0,0.9859347342620857
Youngs_modulus,2,1,0.9825714090293928
Youngs_modulus,2,2,0.986508021458269
Youngs_modulus,2,3,0.9912027202880508
Youngs_modulus,2,4,0.988619843341369
UTS,2,0,0.9905651673528066
UTS,2,1,0.9900034867978909
UTS,2,2,0.9924561972912849
UTS,2,3,0.9932970526337072
UTS,2,4,0.9956203214286254
Disloc_0pct,2,0,0.9802566049458332
Disloc_0pct,2,1,0.9777817485849798
Disloc_0pct,2,2,0.9764692084433824
Disloc_0pct,2,3,0.9819667544021975
Disloc_0pct,2,4,0.9735443155445311
Disloc_20pct,2,0,0.8962478358769318
Disloc_20pct,2,1,0.8659174936668043
Disloc_20pct,2,2,0.8902584500308668
Disloc_20pct,2,3,0.9116206857070619
