target,seed,fold,test_r2
Youngs_modulus,0,0,0.9765210543660382
Youngs_modulus,0,1,0.9782820165076671
Youngs_modulus,0,2,0.988238448057181
Youngs_modulus,0,3,0.9752758091383698
Youngs_modulus,0,4,0.9829307777525113
UTS,0,0,0.9898717802116344
UTS,0,1,0.9882521107320428
UTS,0,2,0.9921389097794828
UTS,0,3,0.9935045612247791
UTS,0,4,0.9929805814264516
Disloc_0pct,0,0,0.9796837971253235
Disloc_0pct,0,1,0.9777793356902188
Disloc_0pct,0,2,0.9764688503720991
Disloc_0pct,0,3,0.9819654412870625
Disloc_0pct,0,4,0.9735448085387762
Disloc_20pct,0,0,0.9026506426795935
Disloc_20pct,0,1,0.8998444280956128
Disloc_20pct,0,2,0.8845472326668985
Disloc_20pct,0,3,0.9398023519204934
Disloc_20pct,0,4,0.9076816340948627
FCC_0pct,0,0,0.998736866310103
FCC_0pct,0,1,0.9961113008050128
FCC_0pct,0,2,0.9982336097032036
FCC_0pct,0,3,0.9979736147291077
FCC_0pct,0,4,0.9982694874272743
HCP_0pct,0,0,0.6676919884668275
HCP_0pct,0,1,0.6548264417737527
HCP_0pct,0,2,0.7562079774425169
HCP_0pct,0,3,0.6894350522981101
HCP_0pct,0,4,0.7348497328558022
BCC_0pct,0,0,0.36599611543485977
BCC_0pct,0,1,0.41986658341254457
BCC_0pct,0,2,0.5008455284223645
BCC_0pct,0,3,0.37060649457505945
BCC_0pct,0,4,0.4601143947798926
FCC_20pct,0,0,0.9449657844834082
FCC_20pct,0,1,0.9436416761325678
FCC_20pct,0,2,0.9555496465880766
FCC_20pct,0,3,0.9436357626854257
FCC_20pct,0,4,0.9600197464817104
HCP_20pct,0,0,0.7001323003440042
HCP_20pct,0,1,0.7921759662276286
HCP_20pct,0,2,0.7858732143626265
HCP_20pct,0,3,0.7698874438266433
HCP_20pct,0,4,0.7984943981848579
BCC_20pct,0,0,0.8764200511807663
BCC_20pct,0,1,0.9051588606042127
BCC_20pct,0,2,0.7916968250487658
BCC_20pct,0,3,0.8983878472767782
BCC_20pct,0,4,0.8072740724283078
Other_0pct,0,0,0.9990475771790581
Other_0pct,0,1,0.9984496647131972
Other_0pct,0,2,0.9984969499420597
Other_0pct,0,3,0.9988951255690066
Other_0pct,0,4,0.9982995418515503
Other_20pct,0,0,0.9975812086964657
Other_20pct,0,1,0.9978091207488365
Other_20pct,0,2,0.9968086379481664
Other_20pct,0,3,0.9972781477903839
Other_20pct,0,4,0.99531792100468
Youngs_modulus,1,0,0.9848777459112235
Youngs_modulus,1,1,0.9827332798656621
Youngs_modulus,1,2,0.9911666531185089
Youngs_modulus,1,3,0.988296325935105
Youngs_modulus,1,4,0.9857114659600759
UTS,1,0,0.9912625727924054
UTS,1,1,0.9909496984070073
UTS,1,2,0.9935503877796579
UTS,1,3,0.9932686789866081
UTS,1,4,0.9921284826180935
Disloc_0pct,1,0,0.9802447217456403
Disloc_0pct,1,1,0.9777808563637167
Disloc_0pct,1,2,0.976467731800038
Disloc_0pct,1,3,0.9819684131452441
Disloc_0pct,1,4,0.9735443345101753
Disloc_20pct,1,0,0.9003398642521734
Disloc_20pct,1,1,0.9033332357790838
Disloc_20pct,1,2,0.9119008746823372
Disloc_20pct,1,3,0.9398059023270777
Disloc_20pct,1,4,0.9106113283797179
FCC_0pct,1,0,0.9986992491109182
FCC_0pct,1,1,0.9985819648560124
FCC_0pct,1,2,0.9983943021934087
FCC_0pct,1,3,0.9984415019340608
FCC_0pct,1,4,0.9980074938159972
HCP_0pct,1,0,0.6934893632436068
HCP_0pct,1,1,0.6847137799189653
HCP_0pct,1,2,0.7343747143147863
HCP_0pct,1,3,0.7452854259200874
HCP_0pct,1,4,0.6917347440546817
BCC_0pct,1,0,0.4918696944418678
BCC_0pct,1,1,0.36671524227463126
BCC_0pct,1,2,0.4129137747916557
BCC_0pct,1,3,0.5443314397825239
BCC_0pct,1,4,0.5474226336143752
FCC_20pct,1,0,0.9453888930379342
FCC_20pct,1,1,0.9529203583675725
FCC_20pct,1,2,0.9634937701513888
FCC_20pct,1,3,0.9379006457230629
FCC_20pct,1,4,0.9357292008203318
HCP_20pct,1,0,0.788689716440338
HCP_20pct,1,1,0.7531703592418888
HCP_20pct,1,2,0.6776917586842425
HCP_20pct,1,3,0.7712141144533466
HCP_20pct,1,4,0.7959419169881343
BCC_20pct,1,0,0.8857984696185515
BCC_20pct,1,1,0.7925212000394052
BCC_20pct,1,2,0.8189747675917571
BCC_20pct,1,3,0.8769582102623221
BCC_20pct,1,4,0.7922269392027178
Other_0pct,1,0,0.9988002668411446
